No.,Symbol,Company Name,Sector,Issued Allocation,Remaining Allocation,Entry Price,Entry Time,Exit Price,Exit Time,Profit & Loss,Returns,Freeze Price,ISIN-Exchange-Series,Rationale
296,LLOYDSME,LLOYDS METALS N ENERGY L-LLOYDSME EQ,,0,5,"1,809.00",13-Jul-26,"1,897.60",22-Jul-26,88.6,4.9,0,INE281B01032-NSE-EQ,BOOK PROFITS
297,LLOYDSME,LLOYDS METALS N ENERGY L-LLOYDSME EQ,,5,10,"1,809.00",13-Jul-26,"1,914.00",22-Jul-26,105,5.8,0,INE281B01032-NSE-EQ,BOOK PROFITS
298,REDINGTON,REDINGTON LIMITED-REDINGTON EQ,TRADING,0,5,284.5,13-Jul-26,266.45,22-Jul-26,-18.05,-6.34,0,INE891D01026-NSE-EQ,No Follow up move post flag pattern formation.
293,DELHIVERY,DELHIVERY LIMITED-DELHIVERY EQ,LOGISTICS,5,10,498.65,01-Jul-26,473.6,22-Jul-26,-25.05,-5.02,0,INE148O01028-NSE-EQ,EXIT AS STOCK HAS BREACHED ITS 50 DEMA SUPPORT. THE RECENT BREAKOUT LEVEL SHOULD HAVE HAVE ACTED AS A SUPPORT ON DECLINE BUT IT DID NOT.
294,DELHIVERY,DELHIVERY LIMITED-DELHIVERY EQ,LOGISTICS,0,5,498.65,01-Jul-26,469.45,22-Jul-26,-29.2,-5.86,0,INE148O01028-NSE-EQ,EXIT AS STOCK HAS BREACHED ITS 50 DEMA SUPPORT. THE RECENT BREAKOUT LEVEL SHOULD HAVE HAVE ACTED AS A SUPPORT ON DECLINE BUT IT DID NOT.
279,LIQUIDCASE,ZERODHAAMC - LIQUIDCASE-LIQUIDCASE EQ,,35,0,115.11,21-Jul-26,0,21-Jul-26,0,0,0,INF0R8F01034-NSE-EQ,Investing till good opportunities seen
278,KARURVYSYA,KARUR VYSYA BANK LTD-KARURVYSYA EQ,BANKS,5,10,307,13-Jul-26,324.4,21-Jul-26,17.4,5.67,0,INE036D01028-NSE-EQ,BOOK PROFITS
280,TATATECH,TATA TECHNOLOGIES LIMITED-TATATECH EQ,IT - SOFTWARE,0,5,738.2,07-Jul-26,748.15,21-Jul-26,9.95,1.35,0,INE142M01025-NSE-EQ,"THE STOCK HAS BEEN RESISTING AROUND RS. 775.WHICH IS THE PREVIOUS SWING HIGH. POST ITS RESULTS, IT IS UNABLE TO SURPASS ITS RESISTANCE AND HENCE RECOMMEND TO EXIT AND REVIEW ABOVE RS. 775"
266,TECHM,TECH MAHINDRA LIMITED-TECHM EQ,IT - SOFTWARE,0,10,"1,504.90",13-Jul-26,"1,584.30",20-Jul-26,79.4,5.28,0,INE669C01036-NSE-EQ,Book Profits
264,SONACOMS,SONA BLW PRECISION FRGS L-SONACOMS EQ,AUTO ANCILLARIES,0,10,676.8,08-Jul-26,711.65,20-Jul-26,34.85,5.15,0,INE073K01018-NSE-EQ,Sonacoms
265,TATATECH,TATA TECHNOLOGIES LIMITED-TATATECH EQ,IT - SOFTWARE,5,10,738.2,07-Jul-26,738.9,20-Jul-26,0.7,0.09,0,INE142M01025-NSE-EQ,"THE STOCK HAS BEEN RESISTING AROUND RS. 775.WHICH IS THE PREVIOUS SWING HIGH. POST ITS RESULTS, IT IS UNABLE TO SURPASS ITS RESISTANCE AND HENCE RECOMMEND TO EXIT AND REVIEW ABOVE RS. 775"
159,JSWINFRA,JSW INFRASTRUCTURE LTD-JSWINFRA EQ,Marine Port &amp; Services,10,0,0,13-Jul-26,0,13-Jul-26,0,0,0,INE880J01026-NSE-EQ,Stock has given a breakout on the weekly and monthly chart after a long consolidation phase.
160,KARURVYSYA,KARUR VYSYA BANK LTD-KARURVYSYA EQ,Banks,10,0,309.2,13-Jul-26,0,13-Jul-26,0,0,0,INE036D01028-NSE-EQ,Stock has given breakout from a symmetrical triangle pattern and is hinting at a resumption of the uptrend post consolidation.
163,LLOYDSME,LLOYDS METALS N ENERGY L-LLOYDSME EQ,,10,0,"1,814.50",13-Jul-26,0,13-Jul-26,0,0,0,INE281B01032-NSE-EQ,The stock has been an outperformer and the weekly chart exhibits a bullish flag pattern. We expect a continuation of the uptrend in the near term.
164,REDINGTON,REDINGTON LIMITED-REDINGTON EQ,Trading,5,0,283.8,13-Jul-26,0,13-Jul-26,0,0,0,INE891D01026-NSE-EQ,Stock has foemd a bullish flag pattern on the daily chart . Prices are taking support around its 20 DEMA on dips and thus the near term trend look bullish
165,TECHM,TECH MAHINDRA LIMITED-TECHM EQ,IT - Software,10,0,"1,505.40",13-Jul-26,0,13-Jul-26,0,0,0,INE669C01036-NSE-EQ,The stock has formed a multiple support base around Rs. 1350-1300 and now has surpassed its 200 DEMA hurdle. The sectoral momentum seems bullish post the recent corrective phase.
166,TRIVENI,TRIVENI ENGG. &amp; INDS. LTD-TRIVENI BE,Sugar,10,0,481.75,13-Jul-26,0,13-Jul-26,0,0,0,INE256C01024-NSE-EQ,The stocks has recently given a breakout and is showing a follow up move as well.
161,LIQUIDCASE,ZERODHAAMC - LIQUIDCASE-LIQUIDCASE EQ,,0,15,114.89,08-Jul-26,114.97,13-Jul-26,0.08,0.07,0,INF0R8F01034-NSE-EQ,TO INVEST IN STOCKS
162,LIQUIDCASE,ZERODHAAMC - LIQUIDCASE-LIQUIDCASE EQ,,15,45,114.89,08-Jul-26,114.96,13-Jul-26,0.07,0.06,0,INF0R8F01034-NSE-EQ,TO INVEST IN STOCKS
158,AZAD,AZAD ENGINEERING LIMITED-AZAD EQ,AEROSPACE &amp; DEFENCE,0,10,"2,200.50",06-Jul-26,"2,392.70",13-Jul-26,192.2,8.73,0,INE02IJ01035-NSE-EQ,Book Profits
94,LIQUIDCASE,ZERODHAAMC - LIQUIDCASE-LIQUIDCASE EQ,,45,0,114.9,08-Jul-26,0,08-Jul-26,0,0,0,INF0R8F01034-NSE-EQ,Investing in liquidcase till any good opportunities seen
96,SONACOMS,SONA BLW PRECISION FRGS L-SONACOMS EQ,Auto Ancillaries,10,0,677.5,08-Jul-26,0,08-Jul-26,0,0,0,INE073K01018-NSE-EQ,Stock is showing a consistent upmove post the recent consolidation breakout. Price volume action and the RSI set up is hinting at a continuation of the uptrend
97,SUPRAJIT,SUPRAJIT ENGINEERING LTD-SUPRAJIT EQ,Auto Ancillaries,5,0,507.7,08-Jul-26,0,08-Jul-26,0,0,0,INE399C01030-NSE-EQ,Stock has given a breskout from a long consolidation phase.It has recently formed a double bottom pattern and this breakout could lead to a trended phase.
95,LLOYDSENT,LLOYDS ENTERPRISES LTD-LLOYDSENT EQ,TRADING,0,5,76.4,06-Jul-26,71.43,08-Jul-26,-4.97,-6.51,0,INE080I01025-NSE-EQ,Reducing exposure to market
92,ADANIPORTS,ADANI PORT &amp; SEZ LTD-ADANIPORTS EQ,MARINE PORT &amp; SERVICES,0,10,"1,860.00",01-Jul-26,"1,794.80",08-Jul-26,-65.2,-3.51,0,INE742F01042-NSE-EQ,Reducing exposure to markets
98,ZYDUSLIFE,ZYDUS LIFESCIENCES LTD-ZYDUSLIFE EQ,PHARMACEUTICALS,0,10,"1,118.80",23-Jun-26,"1,152.00",08-Jul-26,33.2,2.97,0,INE010B01027-NSE-EQ,Reducing exposure to market
93,GRASIM,GRASIM INDUSTRIES LTD-GRASIM EQ,TEXTILES,0,10,"3,097.50",11-Jun-26,"3,140.00",08-Jul-26,42.5,1.37,0,INE047A01021-NSE-EQ,Reducing exposure to market
79,DIVISLAB,DIVI S LABORATORIES LTD-DIVISLAB EQ,Pharmaceuticals,10,0,"6,929.50",07-Jul-26,0,07-Jul-26,0,0,0,INE361B01024-NSE-EQ,Pharma sector is in an uptrend and this stick is giving a breakout from a consolidation phase and a bullish flag pattern on the weekly chart
82,TATATECH,TATA TECHNOLOGIES LIMITED-TATATECH EQ,IT - Software,10,0,0,07-Jul-26,0,07-Jul-26,0,0,0,INE142M01025-NSE-EQ,"The IT sector has seen a downtrend till the month of June. However, this stock bottomed out in the end of March and has shown a relative outperformance since then during the sectors corrective phase. Now, it has formed a higher bottom at its 200 DEMA which is around Rs. 660. Hence, we advise to add this stock to the portfolio with a stoploss below Rs. 650."
80,GRANULES,GRANULES INDIA LIMITED-GRANULES EQ,PHARMACEUTICALS,0,10,788.35,29-Jun-26,865.75,07-Jul-26,77.4,9.82,0,INE101D01020-NSE-EQ,Book Profits
78,AETHER,Aether Industries Limited-AETHER,CHEMICALS,0,5,"1,327.80",24-Jun-26,"1,333.15",07-Jul-26,5.35,0.4,0,INE0BWX01014-BSE-EQ,Exit
81,SHRIRAMFIN,SHRIRAM FINANCE LIMITED-SHRIRAMFIN EQ,FINANCE,0,10,"1,005.65",24-Jun-26,"1,074.30",07-Jul-26,68.65,6.83,0,INE721A01047-NSE-EQ,Book Profits
67,AZAD,AZAD ENGINEERING LIMITED-AZAD EQ,Aerospace &amp; Defence,10,0,"2,198.90",06-Jul-26,0,06-Jul-26,0,0,0,INE02IJ01035-NSE-EQ,Post the consolidation breakout stock has formed a support base at its weekly 20 EMA and the stock seems to be resuming its uptrend.
68,LLOYDSENT,LLOYDS ENTERPRISES LTD-LLOYDSENT EQ,Trading,5,0,77.26,06-Jul-26,0,06-Jul-26,0,0,0,INE080I01025-NSE-EQ,"Stock has been foming higher top higher bottom structure and post a consolidation, it is hinting at a continuation of uptrend"
71,SUPRIYA,SUPRIYA LIFESCIENCE LTD-SUPRIYA EQ,PHARMACEUTICALS,0,5,939.75,29-Jun-26,918.8,06-Jul-26,-20.95,-2.23,0,INE07RO01027-NSE-EQ,The stock has opened gap down due to some negative news flows and has breached its immediate support.
72,TATACOMM,TATA COMMUNICATIONS LTD-TATACOMM EQ,TELECOM-SERVICE,0,10,"2,040.70",22-Jun-26,"1,902.80",06-Jul-26,-137.9,-6.76,0,INE151A01013-NSE-EQ,No follow up move post breakout
70,PRESTIGE,PRESTIGE ESTATE LTD-PRESTIGE EQ,REALTY,0,10,"1,501.60",16-Jun-26,"1,710.20",06-Jul-26,208.6,13.89,0,INE811K01011-NSE-EQ,Book Profits
69,MINDACORP,MINDA CORPORATION LTD-MINDACORP EQ,AUTO ANCILLARIES,0,10,662.4,15-Jun-26,700.35,06-Jul-26,37.95,5.73,0,INE842C01021-NSE-EQ,"Book Profits, RSI is in overbought zone"
9,ADANIPORTS,ADANI PORT &amp; SEZ LTD-ADANIPORTS EQ,Marine Port &amp; Services,10,0,"1,861.50",01-Jul-26,0,01-Jul-26,0,0,0,INE742F01042-NSE-EQ,Stock has given a breakout from its consolidation phase has resumed its broader uptrend.
10,DELHIVERY,DELHIVERY LIMITED-DELHIVERY EQ,Logistics,10,0,499.9,01-Jul-26,0,01-Jul-26,0,0,0,INE148O01028-NSE-EQ,Stock has given breakout from its long consolidation phase and has surpassed its monthly 200 EMA
400,GRANULES,GRANULES INDIA LIMITED-GRANULES EQ,Pharmaceuticals,10,0,787.3,29-Jun-26,0,29-Jun-26,0,0,0,INE101D01020-NSE-EQ,Stock seems to be resuming uptrend post some time wise corrective phase. Pharma sector is outperforming and this stock has good relative strength in the sector.
402,SUPRIYA,SUPRIYA LIFESCIENCE LTD-SUPRIYA EQ,Pharmaceuticals,5,0,939.65,29-Jun-26,0,29-Jun-26,0,0,0,INE07RO01027-NSE-EQ,"Stock has recently given a breakout from a long consolidation phase. In last few dats, prices have consolidated and are now trading near its 20 DEMA support."
399,GENUSPOWER,GENUS POWER INFRASTRU LTD-GENUSPOWER EQ,CONSUMER DURABLES,0,5,356.3,24-Jun-26,321.1,29-Jun-26,-35.2,-9.88,0,INE955D01029-NSE-EQ,"False breakout, Stock has breached its support"
401,SRF,SRF LTD-SRF EQ,CHEMICALS,0,10,"2,660.30",06-May-26,"2,696.00",29-Jun-26,35.7,1.34,0,INE647A01010-NSE-EQ,"sTOCK IS STILL CONSOLIDATING IN A RANGE, WILL REVIEW AND ADD POST BREAKOUT"
331,AETHER,Aether Industries Limited-AETHER,Chemicals,5,0,0,24-Jun-26,0,24-Jun-26,0,0,0,INE0BWX01014-BSE-EQ,Stock has given breakout above its swing high resistance with high volumes
332,GENUSPOWER,GENUS POWER INFRASTRU LTD-GENUSPOWER EQ,Consumer Durables,5,0,0,24-Jun-26,0,24-Jun-26,0,0,0,INE955D01029-NSE-EQ,Stock has given breakout with high volumes
333,SHRIRAMFIN,SHRIRAM FINANCE LIMITED-SHRIRAMFIN EQ,Finance,10,0,"1,007.50",24-Jun-26,0,24-Jun-26,0,0,0,INE721A01047-NSE-EQ,The stock has recently given a breakout with a gap. Prices have filled the breakaway gap and is now resuming its uptrend
316,ZYDUSLIFE,ZYDUS LIFESCIENCES LTD-ZYDUSLIFE EQ,Pharmaceuticals,10,0,"1,120.80",23-Jun-26,0,23-Jun-26,0,0,0,INE010B01027-NSE-EQ,Stock has resumed uptrend from its 20 DEMA support.
312,BEL,BHARAT ELECTRONICS LTD-BEL EQ,AEROSPACE &amp; DEFENCE,0,10,413.9,17-Jun-26,426.65,23-Jun-26,12.75,3.08,0,INE263A01024-NSE-EQ,Exit in Profits
314,KPIL,KALPATARU PROJECT INT LTD-KPIL EQ,INFRASTRUCTURE DEVELOPERS &amp; OPERATORS,0,5,"1,357.50",16-Jun-26,"1,451.80",23-Jun-26,94.3,6.95,0,INE220B01022-NSE-EQ,Book Profits
313,EICHERMOT,EICHER MOTORS LTD-EICHERMOT EQ,AUTOMOBILE,0,10,"7,436.00",15-Jun-26,"7,648.50",23-Jun-26,212.5,2.86,0,INE066A01021-NSE-EQ,Lack of sectoral momentun
315,PREMIERENE,PREMIER ENERGIES LIMITED-PREMIERENE EQ,TRADING,0,10,"1,064.60",02-Jun-26,"1,056.90",23-Jun-26,-7.7,-0.72,0,INE0BS701011-NSE-EQ,Stock in consolidation phase
299,TATACOMM,TATA COMMUNICATIONS LTD-TATACOMM EQ,Telecom-Service,10,0,"2,046.10",22-Jun-26,0,22-Jun-26,0,0,0,INE151A01013-NSE-EQ,Stock has given breakout from a bullish fLAG pattern post forming a base at its 20 DEMA.
234,SHRIRAMFIN,SHRIRAM FINANCE LIMITED-SHRIRAMFIN EQ,FINANCE,0,10,929.9,12-Jun-26,"1,000.35",18-Jun-26,70.45,7.58,0,INE721A01047-NSE-EQ,Book Profits
235,TITAGARH,TITAGARH RAIL SYSTEMS LTD-TITAGARH EQ,CAPITAL GOODS-NON ELECTRICAL EQUIPMENT,0,5,803,25-May-26,940.7,18-Jun-26,137.7,17.15,0,INE615H01020-NSE-EQ,Book Profits
236,VBL,Varun Beverages Limited-VBL,FMCG,0,10,503.65,14-May-26,536.75,18-Jun-26,33.1,6.57,0,INE200M01039-BSE-EQ,Book Profits
219,BEL,BHARAT ELECTRONICS LTD-BEL EQ,Aerospace &amp; Defence,10,0,414.85,17-Jun-26,0,17-Jun-26,0,0,0,INE263A01024-NSE-EQ,Nifty India Defence index has given a breakout and is hinting at a probability of resumption of ptrend. BEL is trading at is support and hence the risk reward ratio seems favorable here.
220,FEDERALBNK,FEDERAL BANK LTD-FEDERALBNK EQ,BANKS,0,10,299.85,03-Jun-26,321.55,17-Jun-26,21.7,7.24,0,INE171A01029-NSE-EQ,Book Profits
207,KPIL,KALPATARU PROJECT INT LTD-KPIL EQ,Infrastructure Developers &amp; Operators,5,0,"1,359.90",16-Jun-26,0,16-Jun-26,0,0,0,INE220B01022-NSE-EQ,Stock has given breakout from resistance with high volumes
208,PRESTIGE,PRESTIGE ESTATE LTD-PRESTIGE EQ,Realty,10,0,"1,502.10",16-Jun-26,0,16-Jun-26,0,0,0,INE811K01011-NSE-EQ,Stock has given breakout from inverted head and shoulders pattern on the daily chart with rising volumes.
206,HSCL,HIMADRI SPECIALITY CHEM L-HSCL EQ,CHEMICALS,0,5,629.55,04-Jun-26,689.05,16-Jun-26,59.5,9.45,0,INE019C01026-NSE-EQ,BOOK PROFITS
205,BAJFINANCE,BAJAJ FINANCE LIMITED-BAJFINANCE EQ,FINANCE,0,10,908.3,14-May-26,957.35,16-Jun-26,49.05,5.4,0,INE296A01032-NSE-EQ,Book Profits
185,EICHERMOT,EICHER MOTORS LTD-EICHERMOT EQ,Automobile,10,0,"7,437.00",15-Jun-26,0,15-Jun-26,0,0,0,INE066A01021-NSE-EQ,Ascending triangle pattern breakout
188,MINDACORP,MINDA CORPORATION LTD-MINDACORP EQ,Auto Ancillaries,10,0,663.55,15-Jun-26,0,15-Jun-26,0,0,0,INE842C01021-NSE-EQ,Stock has given breakout from a long consolidation phase on the weekly charts
187,MAHABANK,BANK OF MAHARASHTRA-MAHABANK EQ,BANKS,0,10,81.98,09-Jun-26,89.94,15-Jun-26,7.96,9.71,0,INE457A01014-NSE-EQ,Book Profits
186,LIQUIDCASE,ZERODHAAMC - LIQUIDCASE-LIQUIDCASE EQ,,0,10,114.42,08-Jun-26,114.54,15-Jun-26,0.12,0.1,0,INF0R8F01034-NSE-EQ,TO INVEST IN STOCKS
146,SHRIRAMFIN,SHRIRAM FINANCE LIMITED-SHRIRAMFIN EQ,Finance,10,0,930.85,12-Jun-26,0,12-Jun-26,0,0,0,INE721A01047-NSE-EQ,Stock has formed a support base at its 200 DEMA and is resuming its uptrend
145,LIQUIDCASE,ZERODHAAMC - LIQUIDCASE-LIQUIDCASE EQ,,10,20,114.42,08-Jun-26,114.53,12-Jun-26,0.11,0.1,0,INF0R8F01034-NSE-EQ,TO INVEST IN STOCKS
126,GRASIM,GRASIM INDUSTRIES LTD-GRASIM EQ,Textiles,10,0,"3,098.00",11-Jun-26,0,11-Jun-26,0,0,0,INE047A01021-NSE-EQ,"The stock had recently given a breakout from its long consolidation phase post the announcement of its quarterly results. The breakout was supported by high volumes, and the stock is now showing signs of resumption of its momentum from the 20 DEMA support."
127,HSCL,HIMADRI SPECIALITY CHEM L-HSCL EQ,CHEMICALS,5,10,629.55,04-Jun-26,690.35,11-Jun-26,60.8,9.66,0,INE019C01026-NSE-EQ,BOOK PROFITS
128,TITAGARH,TITAGARH RAIL SYSTEMS LTD-TITAGARH EQ,CAPITAL GOODS-NON ELECTRICAL EQUIPMENT,5,10,803,25-May-26,820.75,11-Jun-26,17.75,2.21,0,INE615H01020-NSE-EQ,REDUCING EXPOSURE FROM MID AND SMALL CAPS
113,MAHABANK,BANK OF MAHARASHTRA-MAHABANK EQ,Banks,10,0,82.29,09-Jun-26,0,09-Jun-26,0,0,0,INE457A01014-NSE-EQ,"The stock has been a relative outperformer within the PSU Banking space recently. Post a time wise corrective phase above its 50 DEMA, the stock is resuming its broader uptrend."
112,LIQUIDCASE,ZERODHAAMC - LIQUIDCASE-LIQUIDCASE EQ,,20,30,114.42,08-Jun-26,114.45,09-Jun-26,0.03,0.03,0,INF0R8F01034-NSE-EQ,TO INVEST IN STOCKS
102,LIQUIDCASE,ZERODHAAMC - LIQUIDCASE-LIQUIDCASE EQ,,30,0,114.42,08-Jun-26,0,08-Jun-26,0,0,0,INF0R8F01034-NSE-EQ,Investing in liquidcase till better opportunities seen
99,ANANTRAJ,ANANT RAJ LIMITED-ANANTRAJ EQ,REALTY,0,10,576.65,04-Jun-26,545.5,08-Jun-26,-31.15,-5.4,0,INE242C01024-NSE-EQ,"Post breakout, the stock has not given follow upmove. It has breached the neckline indicating a false breakout."
100,CHAMBLFERT,CHAMBAL FERTILIZERS LTD-CHAMBLFERT EQ,FERTILIZERS,0,10,477.7,26-May-26,453.2,08-Jun-26,-24.5,-5.13,0,INE085A01013-NSE-EQ,"Post breakout, the stock has not given follow upmove. It has breached the neckline indicating a false breakout."
101,GMDCLTD,GUJARAT MINERAL DEV CORP-GMDCLTD EQ,MINING &amp; MINERAL PRODUCTS,0,5,687.55,27-Apr-26,631.2,08-Jun-26,-56.35,-8.2,0,INE131A01031-NSE-EQ,Stock has breached its 50 DEMA support.
40,ANANTRAJ,ANANT RAJ LIMITED-ANANTRAJ EQ,Realty,10,0,0,04-Jun-26,0,04-Jun-26,0,0,0,INE242C01024-NSE-EQ,Stock has given breakout from its resistance with good volumes. The breakout confirms the higher top higher bottom structure and thus a continuation of the uptrend
41,HSCL,HIMADRI SPECIALITY CHEM L-HSCL EQ,Chemicals,10,0,627.4,04-Jun-26,0,04-Jun-26,0,0,0,INE019C01026-NSE-EQ,Stock has formed a bullish flag pattern on the weekly charts and its resuming its uptrend.
42,LIQUIDCASE,ZERODHAAMC - LIQUIDCASE-LIQUIDCASE EQ,,0,15,114.22,25-May-26,114.36,04-Jun-26,0.14,0.12,0,INF0R8F01034-NSE-EQ,To invest in stocks
25,FEDERALBNK,FEDERAL BANK LTD-FEDERALBNK EQ,Banks,10,0,300,03-Jun-26,0,03-Jun-26,0,0,0,INE171A01029-NSE-EQ,Stock has seen a time wise correction in the recent past. It has relative outperformed other banking stocks and has formed a support base at Rs. 280. We expect the stock to resume its uptrend.
27,PERSISTENT,PERSISTENT SYSTEMS LTD-PERSISTENT EQ,IT - SOFTWARE,0,10,"5,455.00",01-Jun-26,"5,181.50",03-Jun-26,-273.5,-5.01,0,INE262H01021-NSE-EQ,"Post the recent upmove in IT stocks, the sector has been witnessing sell off and there's lack of follow up move."
26,MANAPPURAM,MANAPPURAM FINANCE LTD-MANAPPURAM EQ,FINANCE,0,10,318.85,20-May-26,302.8,03-Jun-26,-16.05,-5.03,0,INE522D01027-NSE-EQ,Stock has failed to show a follow up move and has broken the support indicating a breakout failure.
15,PREMIERENE,PREMIER ENERGIES LIMITED-PREMIERENE EQ,Trading,10,0,"1,070.10",02-Jun-26,0,02-Jun-26,0,0,0,INE0BS701011-NSE-EQ,Stock is in an uptrend and the 50 DEMA has been acting as a support for the stock. The overall set up is positive and hence we expect the uptrend to continue.
14,LIQUIDCASE,ZERODHAAMC - LIQUIDCASE-LIQUIDCASE EQ,,15,25,114.22,25-May-26,114.33,02-Jun-26,0.11,0.1,0,INF0R8F01034-NSE-EQ,INVESTING IN STOCKS
12,PERSISTENT,PERSISTENT SYSTEMS LTD-PERSISTENT EQ,IT - Software,10,0,"5,460.00",01-Jun-26,0,01-Jun-26,0,0,0,INE262H01021-NSE-EQ,"Nifty IT index has formed a hammer pattern on the monthly charts indicating a trend reversal. Amongst the IT names, Persitent looks strong as the stock has formed a strong support base around Rs. 4600 and has surpassed its key 200 DEMA hurdle with good volumes."
11,ENRIN,SIEMENS ENERGY INDIA LTD-ENRIN EQ,POWER GENERATION &amp; DISTRIBUTION,0,10,"3,335.30",20-May-26,"3,756.40",01-Jun-26,421.1,12.63,0,INE1NPP01017-NSE-EQ,Book Profits
403,LIQUIDCASE,ZERODHAAMC - LIQUIDCASE-LIQUIDCASE EQ,,25,5,114.22,25-May-26,114.31,29-May-26,0.09,0.08,0,INF0R8F01034-NSE-EQ,INVESTING IN LIQUIDCASE TILL BETTER OPPORTUNITIES SEEN
375,ANGELONE,ANGEL ONE LIMITED-ANGELONE EQ,STOCK/ COMMODITY BROKERS,0,10,302.95,14-May-26,336.95,27-May-26,34,11.22,0,INE732I01021-NSE-EQ,Book Profits
376,BALRAMCHIN,BALRAMPUR CHINI MILLS LTD-BALRAMCHIN EQ,SUGAR,7,10,558.3,13-May-26,530.85,27-May-26,-27.45,-4.92,0,INE119A01028-NSE-EQ,REDUCING EXPOSURE AS STOCK IS CONSOLIDATING IN A RANGE. THE FUNDS WOULD BE USED IN OTHER STOCK WITH BETTER OPPORTUNITY
377,BALRAMCHIN,BALRAMPUR CHINI MILLS LTD-BALRAMCHIN EQ,SUGAR,4,7,558.3,13-May-26,530.45,27-May-26,-27.85,-4.99,0,INE119A01028-NSE-EQ,REDUCING EXPOSURE AS STOCK IS CONSOLIDATING IN A RANGE. THE FUNDS WOULD BE USED IN OTHER STOCK WITH BETTER OPPORTUNITY
378,BALRAMCHIN,BALRAMPUR CHINI MILLS LTD-BALRAMCHIN EQ,SUGAR,2,4,558.3,13-May-26,528.85,27-May-26,-29.45,-5.27,0,INE119A01028-NSE-EQ,REDUCING EXPOSURE AS STOCK IS CONSOLIDATING IN A RANGE. THE FUNDS WOULD BE USED IN OTHER STOCK WITH BETTER OPPORTUNITY
379,BALRAMCHIN,BALRAMPUR CHINI MILLS LTD-BALRAMCHIN EQ,SUGAR,0,2,558.3,13-May-26,532.1,27-May-26,-26.2,-4.69,0,INE119A01028-NSE-EQ,EXIT AS STOCK IS CONSOLIDATING IN A RANGE. THE FUNDS WOULD BE USED IN OTHER STOCK WITH BETTER OPPORTUNITY
